"species"	"site"	"season"	"count"
"2"	"82"	"2"	0
"3"	"82"	"2"	0
"4"	"82"	"2"	1
"5"	"82"	"2"	0
"1"	"83"	"2"	2
"2"	"83"	"2"	0
"3"	"83"	"2"	0
"4"	"83"	"2"	5
"5"	"83"	"2"	5
"1"	"84"	"2"	2
"2"	"84"	"2"	0
"3"	"84"	"2"	0
"4"	"84"	"2"	15
"5"	"84"	"2"	2
"1"	"85"	"2"	1
"2"	"85"	"2"	0
"3"	"85"	"2"	0
"4"	"85"	"2"	0
"5"	"85"	"2"	0
"1"	"86"	"2"	0
"2"	"86"	"2"	0
"3"	"86"	"2"	0
"4"	"86"	"2"	2
"5"	"86"	"2"	0
"1"	"87"	"2"	0
"2"	"87"	"2"	0
"3"	"87"	"2"	0
"4"	"87"	"2"	0
"5"	"87"	"2"	0
"1"	"88"	"2"	1
"2"	"88"	"2"	0
"3"	"88"	"2"	0
"4"	"88"	"2"	0
"5"	"88"	"2"	0
"1"	"89"	"2"	0
"2"	"89"	"2"	0
"3"	"89"	"2"	0
"4"	"89"	"2"	0
"5"	"89"	"2"	0
"1"	"90"	"2"	0
"2"	"90"	"2"	0
"3"	"90"	"2"	0
"4"	"90"	"2"	0
"5"	"90"	"2"	0
"1"	"91"	"2"	0
"2"	"91"	"2"	0
"3"	"91"	"2"	0
"4"	"91"	"2"	0
"5"	"91"	"2"	0
"1"	"92"	"2"	1
"2"	"92"	"2"	0
"3"	"92"	"2"	0
"4"	"92"	"2"	8
"5"	"92"	"2"	0
"1"	"93"	"2"	NA
"2"	"93"	"2"	NA
"3"	"93"	"2"	NA
"4"	"93"	"2"	NA
"5"	"93"	"2"	NA
"1"	"94"	"2"	0
"2"	"94"	"2"	13
"3"	"94"	"2"	1
"4"	"94"	"2"	7
"5"	"94"	"2"	0
"1"	"95"	"2"	0
"2"	"95"	"2"	0
"3"	"95"	"2"	0
"4"	"95"	"2"	0
"5"	"95"	"2"	0
"1"	"1"	"3"	0
"2"	"1"	"3"	0
"3"	"1"	"3"	0
"4"	"1"	"3"	2
"5"	"1"	"3"	0
"1"	"2"	"3"	0
"2"	"2"	"3"	0
"3"	"2"	"3"	0
"4"	"2"	"3"	0
"5"	"2"	"3"	2
"1"	"3"	"3"	2
"2"	"3"	"3"	0
"3"	"3"	"3"	0
"4"	"3"	"3"	3
"5"	"3"	"3"	23
"1"	"4"	"3"	0
"2"	"4"	"3"	0
"3"	"4"	"3"	0
"4"	"4"	"3"	0
"5"	"4"	"3"	0
"1"	"5"	"3"	0
"2"	"5"	"3"	0
"3"	"5"	"3"	0
"4"	"5"	"3"	0
"5"	"5"	"3"	0
"1"	"6"	"3"	0
"2"	"6"	"3"	0
"3"	"6"	"3"	0
"4"	"6"	"3"	0
"5"	"6"	"3"	0
"1"	"7"	"3"	0
"2"	"7"	"3"	0
"3"	"7"	"3"	0
"4"	"7"	"3"	0
"5"	"7"	"3"	0
